Province,Feb,Mar,Apr,May,Jun
Abra,43.12,63.67,110.2,279.46,390.27
Agusan del Norte,361.69,324.71,217.18,226.82,230.13
Agusan del Sur,318.1,294.87,225.01,245.02,250.16
Aklan,102.85,77.86,78.06,246.36,310.82
Albay,165.68,152.43,132.55,170,233.11
Antique,48.52,44.94,60.66,254.32,402.96
Apayao,83.5,77.73,101.11,194.24,253.19
Aurora,107.67,131.89,141.08,232.65,240.72
Basilan,86.22,78.19,106.99,210.87,247.63
Bataan,9.12,11.63,29.96,208.06,407.31
Batanes,154.25,104.89,87.31,167.74,209.2
Batangas,27,26.86,45.63,144.68,230.01
Benguet,17.39,49.4,99.66,229.43,297.55
Biliran,151.75,120.78,114.84,158.68,219.2
Bohol,113.44,94.02,59.65,109.31,161.99
Bukidnon,127.15,138.3,144.97,279.26,327.77
Bulacan,22.07,34.32,58.96,208.41,337.09
Cagayan,60.69,56.75,53.93,131.75,148.98
Camarines Norte,131.81,114.57,109.55,149.45,215.9
Camarines Sur,117.11,105.06,106.5,164.27,253.9
Camiguin,165.34,155.04,88.61,149.7,203.09
Capiz,84,73.32,73.88,193.01,274.6
Catanduanes,210.6,185.54,167.67,187.45,251.98
Cavite,15.7,18.7,32.31,159.72,282.98
Cebu,86.69,79.36,59.24,128.9,178.5
Compostela Valley,261.55,228.95,207.2,234.75,199.34
Davao del Norte,175.81,151.11,171.48,229.29,216.65
Davao del Sur,122.1,114.01,143.64,218.37,212.96
Davao Oriental,270.4,226.25,194.54,206.16,216.03
Dinagat Islands,438.67,339.91,244.37,185.36,192.11
Eastern Samar,326.73,238.65,205.91,217.37,220.36
Guimaras,35.45,46.03,76.32,160.82,316.87
Ifugao,70.48,82,126.23,228.67,244.09
Ilocos Norte,54.25,47.86,73.31,205.6,315.51
Ilocos Sur,16.11,30.33,56.59,234.57,381.45
Iloilo,63.12,58.42,70.55,184.71,279.73
Isabela,76.65,82.72,93.07,161.16,172.09
Kalinga,56.02,80.27,120.79,235.98,281.45
La Union,9.08,19.47,37.86,202.88,364.33
Laguna,30.39,35.43,47.68,151.12,242.3
Lanao del Norte,113.43,129.32,138.54,251.28,334.19
Lanao del Sur,114.68,134.59,164.05,313.19,364.51
Leyte,202.79,158.57,134.96,159.74,206.06
Maguindanao,105.81,118.17,143.16,243.74,264.48
Marinduque,61.91,54.06,60.22,138.45,211.1
Masbate,102.83,92.8,74,125.02,190.63
Metropolitan Manila,13.67,18.3,32.31,159.93,294.89
Misamis Occidental,116.01,119.35,115.89,208.73,298.38
Misamis Oriental,142.69,143.07,113.04,198.15,264.99
Mountain Province,60.85,88.55,139.83,259.54,295.46
Negros Occidental,61.88,65.51,79.73,182.05,284.41
Negros Oriental,56.17,70.26,73.45,165.17,251.36
North Cotabato,107.27,112.68,141.89,258.37,265.84
Northern Samar,261.68,191.26,139.17,174.15,208.38
Nueva Ecija,18.7,39.74,65.94,200.05,241.98
Nueva Vizcaya,47.16,72.7,113.28,206.09,192.68
Occidental Mindoro,37.11,25.45,56.94,196.23,343.47
Oriental Mindoro,54.09,39.9,67.57,185.8,308.03
Palawan,23.95,29.34,47.36,154.16,231.24
Pampanga,7.79,18.26,43.65,200.31,323.52
Pangasinan,9.63,24.07,55.01,230.42,365.7
Quezon,65.14,63.15,70.84,143.43,221.84
Quirino,92.16,112.96,136.73,213.07,185.53
Rizal,29.54,40.41,57.27,186.64,298.72
Romblon,55.71,49.05,66.14,168.2,259.77
Samar,242.28,179.05,158.68,185.39,219.94
Sarangani,107.3,96.51,119.13,164.3,165.43
Shariff Kabunsuan,115.22,139.55,171.56,297.36,317.56
Siquijor,72.34,65.28,58.37,100.31,146.03
Sorsogon,201.49,171.9,136.83,154.09,196.35
South Cotabato,99.43,98.88,127.9,199.6,205.57
Southern Leyte,266.03,212.66,151.5,168.3,195.48
Sultan Kudarat,103.81,113.69,148.24,240.46,257.57
Sulu,98.89,96.42,133.35,205.42,223.23
Surigao del Norte,513.59,407.27,277.07,202.21,189.06
Surigao del Sur,535.76,453.74,313.44,257.39,236.02
Tarlac,8.6,22.33,54.13,204.11,295.87
Tawi-tawi,124.64,117.04,123.55,164.55,181.56
Zambales,6.81,15.96,41.76,247.98,454.54
Zamboanga del Norte,73.84,82.55,106,210.32,309.09
Zamboanga del Sur,80.27,101.13,136.78,235.3,342.53
Zamboanga Sibugay,67.38,84.11,119.28,222.03,325.18
